cyrillic,menksoft,unicode,latin
амгалантөгс,,ᠠᠮᠤᠭᠤᠯᠠᠩᠲᠡᠭᠦᠰ,amvgvlaNtegus
амгалан‐энх, ,ᠠᠮᠤᠭᠤᠯᠠᠩ ᠡᠩᠬᠡ,amvgvlaN eNhe
амгасад,,ᠠᠮᠤᠭᠠᠰᠡᠳᠢ,amvgasedi
амгасэд,,ᠠᠮᠤᠭᠠᠰᠡᠳᠢ,amvgasedi
америк,,ᠠᠮᠧᠷᠢᠺᠠ,amᠧrika
амжилт,,ᠠᠮᠵᠢᠯᠲᠠ,amjilta
амид,,ᠠᠮᠢᠳᠠ,amida
амин,,ᠠᠮᠢᠨ,amin
аминбат,,ᠠᠮᠢᠨᠪᠠᠲᠤ,aminbatv
аминбөх,,ᠠᠮᠢᠨᠪᠦᠬᠡ,aminbuhe
амингэрэл,,ᠠᠮᠢᠨᠭᠡᠷᠡᠯ,amingerel
аминдаваа,,ᠠᠮᠢᠨᠳᠠᠸᠠ,amindawa
аминдарь,,ᠠᠮᠢᠨᠳᠠᠷᠢ,amindari
аминзаяа,,ᠠᠮᠢᠨᠵᠠᠶᠠᠭ᠎ᠠ,aminjayag-a
аминзул,,ᠠᠮᠢᠨᠵᠤᠯᠠ,aminjvla
аминхишиг,,ᠠᠮᠢᠨᠬᠡᠰᠢᠭ,aminhesig
аминхүслэн,,ᠠᠮᠢᠨᠬᠦᠰᠡᠯᠡᠩ,aminhuseleN
аминхүсэл,,ᠠᠮᠢᠨᠬᠦᠰᠡᠯ,aminhusel
аминцэцэг,,ᠠᠮᠢᠨᠴᠡᠴᠡᠭ,aminceceg
аминчимэг,,ᠠᠮᠢᠨᠴᠢᠮᠡᠭ,amincimeg
амин‐эрдэнэ, ,ᠠᠮᠢᠨ ᠡᠷᠳᠡᠨᠢ,amin erdeni
амира,,ᠠᠮᠢᠷᠠ,amira
амирд,,ᠠᠮᠢᠷᠳᠠ,amirda
амирлан,,ᠠᠮᠤᠷᠯᠢᠨ,amvrlin
амрийдаа,,ᠠᠮᠷᠢᠳᠠ,amrida
амрита,,ᠠᠮᠷᠢᠳᠠ,amrida
амьбөх,,ᠠᠮᠢᠪᠦᠬᠡ,amibuhe
амьдарч,,ᠠᠮᠢᠳᠤᠷᠠᠵᠤ,amidvrajv
амьдрал,,ᠠᠮᠢᠳᠤᠷᠠᠯ,amidvral
амьтан,,ᠠᠮᠢᠲᠠᠨ,amitan
ананд,,ᠠᠨᠠᠨᠳᠠ,ananda
ананда,,ᠠᠨᠠᠨᠳᠠ,ananda
анандбазар,,ᠠᠨᠠᠨᠳᠠᠪᠠᠵᠠᠷ,anandabajar
анар,,ᠠᠨᠠᠷ,anar
анарбат,,ᠠᠨᠠᠷᠪᠠᠲᠤ,anarbatv
анарбаяр,,ᠠᠨᠠᠷᠪᠠᠶᠠᠷ,anarbayar
анарбек,,ᠠᠨᠠᠷᠪᠧᠺ,anarbᠧk
анаргүл,,ᠠᠨᠠᠷᠭᠦᠯ,anargul
анаргүль,,ᠠᠨᠠᠷᠭᠦᠯ,anargul
анарзул,,ᠠᠨᠠᠷᠵᠤᠯᠠ,anarjvla
анартуяа,,ᠠᠨᠠᠷᠲᠤᠶᠠᠭ᠎ᠠ,anartvyag-a
анархүү,,ᠠᠨᠠᠷᠬᠦᠦ,anarhuu
анарцэцэг,,ᠠᠨᠠᠷᠴᠡᠴᠡᠭ,anarceceg
анарчимэг,,ᠠᠨᠠᠷᠴᠢᠮᠡᠭ,anarcimeg
анарчулуун,,ᠠᠨᠠᠷᠴᠢᠯᠠᠭᠤᠨ,anarcilagvn
анар‐эрдэнэ, ,ᠠᠨᠠᠷ ᠡᠷᠳᠡᠨᠢ,anar erdeni
ангар,,ᠠᠩᠭᠠᠷ,aNgar
ангараг,,ᠠᠩᠭᠠᠷᠠᠭ,aNgarag
ангир,,ᠠᠩᠭᠢᠷ,aNgir
ангирмаа,,ᠠᠩᠭᠢᠷᠮ᠎ᠠ,aNgirm-a
