cyrillic,menksoft,unicode,latin
чимэгдорж,,ᠴᠢᠮᠡᠭᠳᠣᠷᠵᠢ,cimegdqrji
чимэгдэлгэр,,ᠴᠢᠮᠡᠭᠳᠡᠯᠭᠡᠷ,cimegdelger
чимэгжаргал,,ᠴᠢᠮᠡᠭᠵᠢᠷᠭᠠᠯ,cimegjirgal
чимэгмаа,,ᠴᠢᠮᠡᠭᠮ᠎ᠠ,cimegm-a
чимэгмөнх,,ᠴᠢᠮᠡᠭᠮᠥᠩᠬᠡ,cimegmoNhe
чимэграш,,ᠴᠢᠮᠡᠭᠷᠠᠰᠢ,cimegrasi
чимэгригзин,,ᠴᠢᠮᠡᠭᠷᠢᠭᠵᠢᠨ,cimegrigjin
чимэгрэгзэн,,ᠴᠢᠮᠡᠭᠷᠢᠭᠵᠢᠨ,cimegrigjin
чимэгсайхан,,ᠴᠢᠮᠡᠭᠰᠠᠢᠬᠠᠨ,cimegsaihan
чимэгсанаа,,ᠴᠢᠮᠡᠭᠰᠠᠨᠠᠭ᠎ᠠ,cimegsanag-a
чимэгсүрэн,,ᠴᠢᠮᠡᠭᠰᠦ᠋ᠷᠦᠩ,cimegsu1ruN
чимэгтогоо,,ᠴᠢᠮᠡᠭᠲᠣᠭᠤᠭ᠎ᠠ,cimegtqgvg-a
чимэгтуул,,ᠴᠢᠮᠡᠭᠲᠤᠤᠯᠠ,cimegtvvla
чимэгтуяа,,ᠴᠢᠮᠡᠭᠲᠤᠶᠠᠭ᠎ᠠ,cimegtvyag-a
чимэгтөгс,,ᠴᠢᠮᠡᠭᠲᠡᠭᠦᠰ,cimegtegus
чимэгцэрэн,,ᠴᠢᠮᠡᠭᠴᠡᠷᠢᠩ,cimegceriN
чимэгцэцэг,,ᠴᠢᠮᠡᠭᠴᠡᠴᠡᠭ,cimegceceg
чимэгчимэд,,ᠴᠢᠮᠡᠭᠴᠢᠮᠡᠳ,cimegcimed
чимэгчулуун,,ᠴᠢᠮᠡᠭᠴᠢᠯᠠᠭᠤᠨ,cimegcilagvn
чимэгээ,,ᠴᠢᠮᠡᠭ,cimeg
чимэгээхүү,,ᠴᠢᠮᠡᠭᠬᠦᠦ,cimeghuu
чимэг‐очир,,ᠴᠢᠮᠡᠭᠧᠴᠢᠷ,cimegᠧcir
чимэг‐оюут, ,ᠴᠢᠮᠡᠭ ᠣᠶᠤᠲᠤ,cimeg qyvtv
чимэг‐эрдэнэ, ,ᠴᠢᠮᠡᠭ ᠡᠷᠳᠡᠨᠢ,cimeg erdeni
чимэд,,ᠴᠢᠮᠡᠳ,cimed
чимэдбаатар,,ᠴᠢᠮᠡᠳᠪᠠᠭᠠᠲᠤᠷ,cimedbagatvr
чимэдбавуу,,ᠴᠢᠮᠡᠳᠪᠠᠪᠤᠤ,cimedbabvv
чимэдбадам,,ᠴᠢᠮᠡᠳᠪᠠᠳᠮ᠎ᠠ,cimedbadm-a
чимэдбазар,,ᠴᠢᠮᠡᠳᠪᠠᠵᠠᠷ,cimedbajar
чимэдбал,,ᠴᠢᠮᠡᠳᠪᠠᠯ,cimedbal
чимэдбалдан,,ᠴᠢᠮᠡᠳᠪᠠᠯᠳᠠᠨ,cimedbaldan
чимэдбалдар,,ᠴᠢᠮᠡᠳᠪᠠᠯᠳᠢᠷ,cimedbaldir
чимэдбалдир,,ᠴᠢᠮᠡᠳᠪᠠᠯᠳᠢᠷ,cimedbaldir
чимэдбалжин,,ᠴᠢᠮᠡᠳᠪᠠᠯᠵᠢᠨ,cimedbaljin
чимэдбалжир,,ᠴᠢᠮᠡᠳᠪᠠᠯᠵᠤᠷ,cimedbaljvr
чимэдбалсан,,ᠴᠢᠮᠡᠳᠪᠠᠯᠰᠠᠨ,cimedbalsan
чимэдбальдар,,ᠴᠢᠮᠡᠳᠪᠠᠯᠳᠢᠷ,cimedbaldir
чимэдбальдир,,ᠴᠢᠮᠡᠳᠪᠠᠯᠳᠢᠷ,cimedbaldir
чимэдбат,,ᠴᠢᠮᠡᠳᠪᠠᠲᠤ,cimedbatv
чимэдбаяр,,ᠴᠢᠮᠡᠳᠪᠠᠶᠠᠷ,cimedbayar
чимэдболь,,ᠴᠢᠮᠡᠳᠪᠣᠯᠢ,cimedbqli
чимэдбум,,ᠴᠢᠮᠡᠳᠪᠤᠮᠤ,cimedbvmv
чимэдбумуу,,ᠴᠢᠮᠡᠳᠪᠤᠮᠤ,cimedbvmv
чимэдбямба,,ᠴᠢᠮᠡᠳᠪᠢᠮᠪᠠ,cimedbimba
чимэдваанчиг,,ᠴᠢᠮᠡᠳᠸᠠᠩᠴᠤᠭ,cimedwaNcvg
чимэдгаа,,ᠴᠢᠮᠡᠳᠭ᠎ᠠ,cimedg-a
чимэдгаваа,,ᠴᠢᠮᠡᠳᠭᠠᠸᠠ,cimedgawa
чимэдгалсан,,ᠴᠢᠮᠡᠳᠭᠠᠯᠰᠠᠩ,cimedgalsaN
чимэдгомбо,,ᠴᠢᠮᠡᠳᠭᠣᠮᠪᠣ,cimedgqmbq
чимэдготов,,ᠴᠢᠮᠡᠳᠭᠣᠲᠠᠪ,cimedgqtab
чимэдгочоо,,ᠴᠢᠮᠡᠳᠭᠣᠴᠤ᠎ᠠ,cimedgqcv-a
чимэддаваа,,ᠴᠢᠮᠡᠳᠳᠠᠸᠠ,cimeddawa
чимэддагва,,ᠴᠢᠮᠡᠳᠳᠠᠭᠪᠠ,cimeddagba
чимэддамба,,ᠴᠢᠮᠡᠳᠳᠠᠮᠪᠠ,cimeddamba
чимэддамбаа,,ᠴᠢᠮᠡᠳᠳᠠᠮᠪᠠ,cimeddamba
чимэддарь,,ᠴᠢᠮᠡᠳᠳᠠᠷᠢ,cimeddari
чимэддаш,,ᠴᠢᠮᠡᠳᠳᠠᠰᠢ,cimeddasi
чимэддолгор,,ᠴᠢᠮᠡᠳᠳᠣᠯᠭᠠᠷ,cimeddqlgar
чимэддолжин,,ᠴᠢᠮᠡᠳᠳᠣᠯᠵᠠᠩ,cimeddqljaN
чимэддоной,,ᠴᠢᠮᠡᠳᠳᠣᠩᠨᠣᠢ,cimeddqNnqi
чимэддоо,,ᠴᠢᠮᠡᠳᠳᠣᠣ,cimeddqq
чимэддорж,,ᠴᠢᠮᠡᠳᠳᠣᠷᠵᠢ,cimeddqrji
чимэддулам,,ᠴᠢᠮᠡᠳᠳᠤᠯᠮ᠎ᠠ,cimeddvlm-a
чимэддэлгэр,,ᠴᠢᠮᠡᠳᠳᠡᠯᠭᠡᠷ,cimeddelger
чимэддэлэг,,ᠴᠢᠮᠡᠳᠳᠡᠯᠡᠭ,cimeddeleg
чимэджав,,ᠴᠢᠮᠡᠳᠵᠠᠪ,cimedjab
чимэджагдаг,,ᠴᠢᠮᠡᠳᠵᠠᠭᠳᠤᠭ,cimedjagdvg
чимэджамц,,ᠴᠢᠮᠡᠳᠵᠠᠮᠴᠤ,cimedjamcv
чимэдзаан,,ᠴᠢᠮᠡᠳᠵᠠᠭᠠᠨ,cimedjagan
чимэдзаяа,,ᠴᠢᠮᠡᠳᠵᠠᠶᠠᠭ᠎ᠠ,cimedjayag-a
чимэдзэвэг,,ᠴᠢᠮᠡᠳᠵᠡᠭᠪᠡ,cimedjegbe
чимэдзэгвэ,,ᠴᠢᠮᠡᠳᠵᠡᠭᠪᠡ,cimedjegbe
чимэдлодой,,ᠴᠢᠮᠡᠳᠯᠣᠳᠣᠢ,cimedlqdqi
чимэдлхагва,,ᠴᠢᠮᠡᠳᡀᠠᠭᠪᠠ,cimedLagba
чимэдлхам,,ᠴᠢᠮᠡᠳᡀᠠᠮᠤ,cimedLamv
чимэдлүндэн,,ᠴᠢᠮᠡᠳᠯᠦ᠋ᠩᠳᠡᠨ,cimedlu1Nden
чимэдмаа,,ᠴᠢᠮᠡᠳᠮ᠎ᠠ,cimedm-a
чимэдмядаг,,ᠴᠢᠮᠡᠳᠮᠢᠳᠤᠭ,cimedmidvg
чимэдмөнх,,ᠴᠢᠮᠡᠳᠮᠥᠩᠬᠡ,cimedmoNhe
чимэднадал,,ᠴᠢᠮᠡᠳᠨᠠᠳᠤᠯ,cimednadvl
чимэдналжирмаа,,ᠴᠢᠮᠡᠳᠨᠠᠯᠵᠤᠷᠮ᠎ᠠ,cimednaljvrm-a
чимэднамжал,,ᠴᠢᠮᠡᠳᠨᠠᠮᠵᠠᠯ,cimednamjal
чимэднамжил,,ᠴᠢᠮᠡᠳᠨᠠᠮᠵᠠᠯ,cimednamjal
чимэднар,,ᠴᠢᠮᠡᠳᠨᠠᠷᠠ,cimednara
чимэдноров,,ᠴᠢᠮᠡᠳᠨᠣᠷᠪᠣ,cimednqrbq
чимэдням,,ᠴᠢᠮᠡᠳᠨᠢᠮ᠎ᠠ,cimednim-a
чимэдпагам,,ᠴᠢᠮᠡᠳᠫᠠᠭᠮᠤ,cimedpagmv
чимэдпалам,,ᠴᠢᠮᠡᠳᠫᠠᠯᠠᠮ,cimedpalam
чимэдпунцаг,,ᠴᠢᠮᠡᠳᠫᠤᠨᠴᠤᠭ,cimedpvncvg
чимэдпэринлэй,,ᠴᠢᠮᠡᠳᠫᠡᠷᠢᠩᠯᠡᠢ,cimedperiNlei
чимэдпэрэнлэй,,ᠴᠢᠮᠡᠳᠫᠡᠷᠢᠩᠯᠡᠢ,cimedperiNlei
чимэдравдан,,ᠴᠢᠮᠡᠳᠷᠠᠪᠳᠠᠨ,cimedrabdan
чимэдрагчаа,,ᠴᠢᠮᠡᠳᠷᠠᠭᠴᠠ,cimedragca
чимэдрегзэн,,ᠴᠢᠮᠡᠳᠷᠢᠭᠵᠢᠨ,cimedrigjin
чимэдригзин,,ᠴᠢᠮᠡᠳᠷᠢᠭᠵᠢᠨ,cimedrigjin
чимэдринцэн,,ᠴᠢᠮᠡᠳᠷᠢᠨᠴᠡᠨ,cimedrincen
чимэдролом,,ᠴᠢᠮᠡᠳᠷᠣᠯᠮ᠎ᠠ,cimedrqlm-a
чимэдрулам,,ᠴᠢᠮᠡᠳᠷᠤᠯᠮ᠎ᠠ,cimedrvlm-a
чимэдрэгзэн,,ᠴᠢᠮᠡᠳᠷᠢᠭᠵᠢᠨ,cimedrigjin
чимэдрэнцэн,,ᠴᠢᠮᠡᠳᠷᠢᠨᠴᠡᠨ,cimedrincen
чимэдсайхан,,ᠴᠢᠮᠡᠳᠰᠠᠢᠬᠠᠨ,cimedsaihan
чимэдсамба,,ᠴᠢᠮᠡᠳᠰᠠᠮᠪᠠ,cimedsamba
чимэдсамбуу,,ᠴᠢᠮᠡᠳᠰᠠᠮᠪᠤᠤ,cimedsambvv
чимэдсамдан,,ᠴᠢᠮᠡᠳᠰᠠᠮᠳᠠᠨ,cimedsamdan
чимэдсодном,,ᠴᠢᠮᠡᠳᠰᠣᠳᠨᠠᠮ,cimedsqdnam
чимэдсоном,,ᠴᠢᠮᠡᠳᠰᠣᠨᠠᠮ,cimedsqnam
чимэдсорогдон,,ᠴᠢᠮᠡᠳᠷᠣᠭᠳᠠᠨ,cimedrqgdan
чимэдсумьяа,,ᠴᠢᠮᠡᠳᠰᠤᠮᠢᠶ᠎ᠠ,cimedsvmiy-a
чимэдсэнгэ,,ᠴᠢᠮᠡᠳᠰᠡᠩᠭᠡ,cimedseNge
чимэдсэнгээ,,ᠴᠢᠮᠡᠳᠰᠡᠩᠭᠡ,cimedseNge
чимэдсүрэн,,ᠴᠢᠮᠡᠳᠰᠦ᠋ᠷᠦᠩ,cimedsu1ruN
чимэдтогос,,ᠴᠢᠮᠡᠳᠲᠣᠭᠣᠰ,cimedtqgqs
чимэдтогтох,,ᠴᠢᠮᠡᠳᠲᠣᠭᠲᠠᠬᠤ,cimedtqgtahv
чимэдтуул,,ᠴᠢᠮᠡᠳᠲᠤᠤᠯᠠ,cimedtvvla
чимэдтуяа,,ᠴᠢᠮᠡᠳᠲᠤᠶᠠᠭ᠎ᠠ,cimedtvyag-a
чимэдханд,,ᠴᠢᠮᠡᠳᠬᠠᠩᠳᠤ,cimedhaNdv
чимэдхорлоо,,ᠴᠢᠮᠡᠳᠬᠣᠷᠯᠣ,cimedhqrlq
чимэдхорол,,ᠴᠢᠮᠡᠳᠬᠣᠷᠯᠣ,cimedhqrlq
чимэдхүрэл,,ᠴᠢᠮᠡᠳᠬᠦᠷᠡᠯ,cimedhurel
чимэдхүү,,ᠴᠢᠮᠡᠳᠬᠦᠦ,cimedhuu
чимэдцеэн,,ᠴᠢᠮᠡᠳᠴᠡᠶᠡᠩ,cimedceyeN
чимэдцогзол,,ᠴᠢᠮᠡᠳᠴᠣᠭᠵᠣᠯ,cimedcqgjql
чимэдцоо,,ᠴᠢᠮᠡᠳᠴᠣ,cimedcq
чимэдцоодол,,ᠴᠢᠮᠡᠳᠴᠣᠣᠳᠠᠯ,cimedcqqdal
чимэдцэвэг,,ᠴᠢᠮᠡᠳᠴᠡᠪᠡᠭ,cimedcebeg
чимэдцэвээн,,ᠴᠢᠮᠡᠳᠴᠡᠸᠡᠩ,cimedceweN
чимэдцэдэв,,ᠴᠢᠮᠡᠳᠴᠡᠳᠦᠪ,cimedcedub
чимэдцэдэн,,ᠴᠢᠮᠡᠳᠴᠡᠳᠡᠨ,cimedceden
чимэдцэен,,ᠴᠢᠮᠡᠳᠴᠡᠶᠡᠩ,cimedceyeN
чимэдцэеэ,,ᠴᠢᠮᠡᠳᠴᠡᠶ᠎ᠡ,cimedcey-e
чимэдцэнд,,ᠴᠢᠮᠡᠳᠴᠡᠩᠳᠤ,cimedceNdv
чимэдцэрмаа,,ᠴᠢᠮᠡᠳᠴᠡᠷᠢᠩᠮ᠎ᠠ,cimedceriNm-a
чимэдцэрэн,,ᠴᠢᠮᠡᠳᠴᠡᠷᠢᠩ,cimedceriN
чимэдцээеэ,,ᠴᠢᠮᠡᠳᠴᠡᠶ᠎ᠡ,cimedcey-e
чимэдчулуун,,ᠴᠢᠮᠡᠳᠴᠢᠯᠠᠭᠤᠨ,cimedcilagvn
чимэд‐аюуш, ,ᠴᠢᠮᠡᠳ ᠠᠶᠤᠰᠢ,cimed ayvsi
чимэд‐ойдов, ,ᠴᠢᠮᠡᠳ ᠣᠢᠳᠣᠪ,cimed qidqb
чимэд‐осор, ,ᠴᠢᠮᠡᠳ ᠣᠰᠣᠷ,cimed qsqr
чимэд‐отгон, ,ᠴᠢᠮᠡᠳ ᠣᠳᠬᠠᠨ,cimed qdhan
чимэд‐очир,,ᠴᠢᠮᠡᠳᠧᠴᠢᠷ,cimedᠧcir
чимэд‐юндэн, ,ᠴᠢᠮᠡᠳ ᠶᠦ᠋ᠩᠳᠦᠩ,cimed yu1NduN
чимэд‐ёндон, ,ᠴᠢᠮᠡᠳ ᠶᠣᠨᠳᠠᠨ,cimed yqndan
чимээ,,ᠴᠢᠮᠡᠭᠡ,cimege
чинбаа,,ᠴᠢᠩᠪᠠ,ciNba
чинбаатар,,ᠴᠢᠩᠪᠠᠭᠠᠲᠤᠷ,ciNbagatvr
чинбадрал,,ᠴᠢᠩᠪᠠᠳᠠᠷᠠᠯ,ciNbadaral
чинбадрах,,ᠴᠢᠩᠪᠠᠳᠠᠷᠠᠬᠤ,ciNbadarahv
чинбарс,,ᠴᠢᠩᠪᠠᠷᠰ,ciNbars
чинбат,,ᠴᠢᠩᠪᠠᠲᠤ,ciNbatv
чинбаян,,ᠴᠢᠩᠪᠠᠶᠠᠨ,ciNbayan
чинбаяр,,ᠴᠢᠩᠪᠠᠶᠠᠷ,ciNbayar
чинбилгүүн,,ᠴᠢᠩᠪᠢᠯᠢᠭᠦᠨ,ciNbiligun
чинбилиг,,ᠴᠢᠩᠪᠢᠯᠢᠭ,ciNbilig
чинбилэг,,ᠴᠢᠩᠪᠢᠯᠢᠭ,ciNbilig
чинболд,,ᠴᠢᠩᠪᠣᠯᠣᠳ,ciNbqlqd
чинболор,,ᠴᠢᠩᠪᠣᠯᠣᠷ,ciNbqlqr
чинборгил,,ᠴᠢᠩᠪᠣᠷᠭᠢᠯ,ciNbqrgil
чинбүрд,,ᠴᠢᠩᠪᠦᠷᠢᠳᠦ,ciNburidu
чингал,,ᠴᠢᠩᠭᠠᠯ,ciNgal
чингарав,,ᠴᠢᠩᠭᠠᠷᠪᠤ,ciNgarbv
чингарди,,ᠴᠢᠩᠭᠠᠷᠤᠳᠢ,ciNgarvdi
чингарьд,,ᠴᠢᠩᠭᠠᠷᠤᠳᠢ,ciNgarvdi
чингис,,ᠴᠢᠩᠭᠢᠰ,ciNgis
чингисболд,,ᠴᠢᠩᠭᠢᠰᠪᠣᠯᠣᠳ,ciNgisbqlqd
чингисдалай,,ᠴᠢᠩᠭᠢᠰᠳᠠᠯᠠᠢ,ciNgisdalai
чингисхаан,,ᠴᠢᠩᠭᠢᠰᠬᠠᠭᠠᠨ,ciNgishagan
чингэлпүрэв,,ᠴᠢᠩᠭᠡᠯᠫᠦᠷᠪᠦ,ciNgelpurbu
чингэлсайхан,,ᠴᠢᠩᠭᠡᠯᠰᠠᠢᠬᠠᠨ,ciNgelsaihan
чингэлтэй,,ᠴᠢᠩᠭᠡᠯᠲᠡᠢ,ciNgeltei
чингэрэл,,ᠴᠢᠩᠭᠡᠷᠡᠯ,ciNgerel
чингэс,,ᠴᠢᠩᠭᠢᠰ,ciNgis
чингүнжав,,ᠴᠢᠩᠭᠦᠨᠵᠠᠪ,ciNgunjab
чингүнжин,,ᠴᠢᠩᠭᠦᠨᠵᠢᠨ,ciNgunjin
чингүүжин,,ᠴᠢᠩᠭᠦᠵᠢᠨ,ciNgujin
чингүүн,,ᠴᠢᠩᠭᠦᠨ,ciNgun
чингүүнбаяр,,ᠴᠢᠩᠭᠦᠨᠪᠠᠶᠠᠷ,ciNgunbayar
чингүүнболд,,ᠴᠢᠩᠭᠦᠨᠪᠣᠯᠣᠳ,ciNgunbqlqd
чингүүндорж,,ᠴᠢᠩᠭᠦᠨᠳᠣᠷᠵᠢ,ciNgundqrji
чингүүнжав,,ᠴᠢᠩᠭᠦᠨᠵᠠᠪ,ciNgunjab
чингүүнсайхан,,ᠴᠢᠩᠭᠦᠨᠰᠠᠢᠬᠠᠨ,ciNgunsaihan
чиндаваа,,ᠴᠢᠩᠳᠠᠸᠠ,ciNdawa
чиндарь,,ᠴᠢᠩᠳᠠᠷᠢ,ciNdari
чиндорж,,ᠴᠢᠩᠳᠣᠷᠵᠢ,ciNdqrji
чиндулам,,ᠴᠢᠩᠳᠤᠯᠮ᠎ᠠ,ciNdvlm-a
чинжаргал,,ᠴᠢᠩᠵᠢᠷᠭᠠᠯ,ciNjirgal
чинзаяа,,ᠴᠢᠩᠵᠠᠶᠠᠭ᠎ᠠ,ciNjayag-a
чинзориг,,ᠴᠢᠩᠵᠣᠷᠢᠭ,ciNjqrig
чинзоригт,,ᠴᠢᠩᠵᠣᠷᠢᠭᠲᠤ,ciNjqrigtv
чинзул,,ᠴᠢᠩᠵᠤᠯᠠ,ciNjvla
чинзүрх,,ᠴᠢᠩᠵᠢᠷᠦᠬᠡ,ciNjiruhe
чинмэргэн,,ᠴᠢᠩᠮᠡᠷᠭᠡᠨ,ciNmergen
чинноров,,ᠴᠢᠩᠨᠣᠷᠪᠣ,ciNnqrbq
чинсайхан,,ᠴᠢᠩᠰᠠᠢᠬᠠᠨ,ciNsaihan
чинсанаа,,ᠴᠢᠩᠰᠠᠨᠠᠭ᠎ᠠ,ciNsanag-a
чинсэтгэл,,ᠴᠢᠩᠰᠡᠳᠬᠢᠯ,ciNsedhil
чинсүрэн,,ᠴᠢᠩᠰᠦ᠋ᠷᠦᠩ,ciNsu1ruN
чинсүх,,ᠴᠢᠩᠰᠦ᠋ᠬᠡ,ciNsu1he
чинтамир,,ᠴᠢᠩᠲᠠᠮᠢᠷ,ciNtamir
чинтогоо,,ᠴᠢᠩᠲᠣᠭᠤᠭ᠎ᠠ,ciNtqgvg-a
чинтогтох,,ᠴᠢᠩᠲᠣᠭᠲᠠᠬᠤ,ciNtqgtahv
чинтулга,,ᠴᠢᠩᠲᠤᠯᠭ᠎ᠠ,ciNtvlg-a
чинтунгалаг,,ᠴᠢᠩᠲᠤᠩᠭᠠᠯᠠᠭ,ciNtvNgalag
чинтуяа,,ᠴᠢᠩᠲᠤᠶᠠᠭ᠎ᠠ,ciNtvyag-a
чинтүшиг,,ᠴᠢᠩᠲᠦ᠋ᠰᠢᠭ,ciNtu1sig
чинтөгс,,ᠴᠢᠩᠲᠡᠭᠦᠰ,ciNtegus
чинтөмөр,,ᠴᠢᠩᠲᠡᠮᠦᠷ,ciNtemur
чинтөр,,ᠴᠢᠩᠲᠥᠷᠦ,ciNtoru
чинхуяг,,ᠴᠢᠩᠬᠤᠶᠠᠭ,ciNhvyag
чинхүслэн,,ᠴᠢᠩᠬᠦᠰᠡᠯᠡᠩ,ciNhuseleN
чинхүсэл,,ᠴᠢᠩᠬᠦᠰᠡᠯ,ciNhusel
чинхүү,,ᠴᠢᠩᠬᠦᠦ,ciNhuu
чинцогт,,ᠴᠢᠩᠴᠣᠭᠲᠤ,ciNcqgtv
чинцолмон,,ᠴᠢᠩᠴᠣᠯᠮᠣᠨ,ciNcqlmqn
чинцоож,,ᠴᠢᠩᠴᠣᠣᠵᠢ,ciNcqqji
чинцэцэг,,ᠴᠢᠩᠴᠡᠴᠡᠭ,ciNceceg
чинчулуун,,ᠴᠢᠩᠴᠢᠯᠠᠭᠤᠨ,ciNcilagvn
чинь,,ᠴᠢᠨᠢ,cini
чин‐итгэлт, ,ᠴᠢᠩ ᠢᠲᠡᠭᠡᠯᠲᠦ,ciN itegeltu
чин‐од, ,ᠴᠢᠩ ᠣᠳᠤ,ciN qdv
чин‐оргил, ,ᠴᠢᠩ ᠣᠷᠭᠢᠯ,ciN qrgil
чин‐оюун, ,ᠴᠢᠩ ᠣᠶᠤᠨ,ciN qyvn
чин‐эрдэнэ, ,ᠴᠢᠩ ᠡᠷᠳᠡᠨᠢ,ciN erdeni
чин‐өлзий, ,ᠴᠢᠩ ᠦᠯᠵᠡᠢ,ciN uljei
чирхай,,ᠴᠢᠷᠬᠠᠢ,cirhai
чих,,ᠴᠢᠬᠢ,cihi
чогдаг,,ᠴᠣᠭᠳᠠᠭ,cqgdag
чогдов,,ᠴᠣᠭᠳᠣᠪ,cqgdqb
чогдог,,ᠴᠣᠭᠳᠠᠭ,cqgdag
чогдогвандан,,ᠴᠣᠭᠳᠠᠭᠸᠠᠩᠳᠠᠨ,cqgdagwaNdan
чогдоггомбо,,ᠴᠣᠭᠳᠠᠭᠭᠣᠮᠪᠤ,cqgdaggqmbv
чогдогдорж,,ᠴᠣᠭᠳᠠᠭᠳᠣᠷᠵᠢ,cqgdagdqrji
чогдогсүрэн,,ᠴᠣᠭᠳᠠᠭ᠍ᠰᠦ᠋ᠷᠦᠩ,cqgdag3su1ruN
чогдон,,ᠴᠣᠭᠳᠠᠨ,cqgdan
чогдонвандан,,ᠴᠣᠭᠳᠠᠨᠸᠠᠩᠳᠠᠨ,cqgdanwaNdan
чогдондавга,,ᠴᠣᠭᠳᠠᠨᠳᠠᠭᠪᠠ,cqgdandagba
чогдондагва,,ᠴᠣᠭᠳᠠᠨᠳᠠᠭᠪᠠ,cqgdandagba
чогдондаржаа,,ᠴᠣᠭᠳᠠᠨᠳᠠᠷᠵᠠᠢ,cqgdandarjai
чогдондорж,,ᠴᠣᠭᠳᠠᠨᠳᠣᠷᠵᠢ,cqgdandqrji
чогдонжамц,,ᠴᠣᠭᠳᠠᠨᠵᠠᠮᠴᠤ,cqgdanjamcv
чогдонням,,ᠴᠣᠭᠳᠠᠨᠨᠢᠮ᠎ᠠ,cqgdannim-a
чогдонсүрэн,,ᠴᠣᠭᠳᠠᠨᠰᠦ᠋ᠷᠦᠩ,cqgdansu1ruN
чогдонтүмэн,,ᠴᠣᠭᠳᠠᠨᠲᠦ᠋ᠮᠡᠨ,cqgdantu1men
чогдонхорлоо,,ᠴᠣᠭᠳᠠᠨᠬᠣᠷᠯᠣ,cqgdanhqrlq
чоглом,,ᠴᠣᠭᠯᠠᠮ,cqglam
чоглон,,ᠴᠣᠭᠯᠠᠩ,cqglaN
чогсом,,ᠴᠣᠭᠰᠣᠮ,cqgsqm
чогсомбаяр,,ᠴᠣᠭᠰᠣᠮᠪᠠᠶᠠᠷ,cqgsqmbayar
чогсомдорж,,ᠴᠣᠭᠰᠣᠮᠳᠣᠷᠵᠢ,cqgsqmdqrji
чогсомжав,,ᠴᠣᠭᠰᠣᠮᠵᠠᠪ,cqgsqmjab
чогсомжамц,,ᠴᠣᠭᠰᠣᠮᠵᠠᠮᠴᠤ,cqgsqmjamcv
чогсомсүрэн,,ᠴᠣᠭᠰᠣᠮᠰᠦ᠋ᠷᠦᠩ,cqgsqmsu1ruN
чой,,ᠴᠣᠢ,cqi
чойбаатар,,ᠴᠣᠢᠪᠠᠭᠠᠲᠤᠷ,cqibagatvr
чойбадраа,,ᠴᠣᠢᠪᠠᠳᠠᠷ᠎ᠠ,cqibadar-a
чойбал,,ᠴᠣᠢᠪᠠᠯ,cqibal
чойбалсан,,ᠴᠣᠢᠪᠠᠯᠰᠠᠩ,cqibalsaN
чойбат,,ᠴᠣᠢᠪᠠᠲᠤ,cqibatv
чойваанчиг,,ᠴᠥᠢᠳᠠᠭᠸᠠᠩᠴᠤᠭ,coidagwaNcvg
чойванчиг,,ᠴᠣᠢᠳᠠᠭᠸᠠᠨᠴᠤᠭ,cqidagwancvg
чойгомбо,,ᠴᠣᠢᠭᠣᠮᠪᠤ,cqigqmbv
чойгончиг,,ᠴᠣᠢᠭᠤᠨᠴᠤᠭ,cqigvncvg
чойгуу,,ᠴᠣᠢᠳᠠᠭ,cqidag
чойгүнсэн,,ᠴᠣᠢᠭᠦᠨᠰᠡᠩ,cqigunseN
чойдаваа,,ᠴᠣᠢᠳᠠᠸᠠ,cqidawa
чойдагва,,ᠴᠣᠢᠳᠠᠭᠪᠠ,cqidagba
чойдамба,,ᠴᠣᠢᠳᠠᠮᠪᠠ,cqidamba
чойдаржаа,,ᠴᠣᠢᠳᠠᠷᠵᠠᠢ,cqidarjai
чойдарь,,ᠴᠣᠢᠳᠠᠷᠢ,cqidari
чойдаш,,ᠴᠣᠢᠳᠠᠰᠢ,cqidasi
чойдог,,ᠴᠣᠢᠳᠠᠭ,cqidag
чойдогжав,,ᠴᠣᠢᠳᠠᠭᠵᠠᠪ,cqidagjab
чойдогжамц,,ᠴᠣᠢᠳᠠᠭᠵᠠᠮᠴᠤ,cqidagjamcv
чойдогсамбуу,,ᠴᠣᠢᠳᠠᠭᠰᠠᠮᠪᠤᠤ,cqidagsambvv
чойдондов,,ᠴᠣᠢᠳᠣᠨᠳᠣᠪ,cqidqndqb
чойдондог,,ᠴᠣᠢᠳᠣᠨᠳᠣᠭ,cqidqndqg
чойдорж,,ᠴᠣᠢᠳᠣᠷᠵᠢ,cqidqrji
чойдулам,,ᠴᠣᠢᠳᠤᠯᠮ᠎ᠠ,cqidvlm-a
чойдэмбэрэл,,ᠴᠣᠢᠳᠡᠮᠪᠡᠷᠢᠯ,cqidemberil
чойдэмчиг,,ᠴᠣᠢᠳᠡᠮᠴᠣᠭ,cqidemcqg
чойжав,,ᠴᠣᠢᠵᠠᠪ,cqijab
чойжал,,ᠴᠣᠢᠵᠠᠯ,cqijal
чойжалбуу,,ᠴᠣᠢᠵᠠᠯᠪᠤᠤ,cqijalbvv
чойжалжав,,ᠴᠠᠢᠵᠠᠯᠵᠠᠪ,caijaljab
чойжамба,,ᠴᠣᠢᠵᠠᠮᠪᠠ,cqijamba
чойжамц,,ᠴᠠᠢᠵᠠᠮᠴᠤ,caijamcv
чойжанцан,,ᠴᠠᠢᠵᠠᠩᠴᠠᠨ,caijaNcan
